employee_id,scheduled_hours,hourly_wage,availability_start_time,available_morning,available_afternoon,available_evening
1503,6.0,16.25,2024-07-01 05:30:00,1,0,0
1501,6.0,14.75,2024-07-01 07:30:00,0,1,0
1502,9.0,28.5,2024-07-01 08:30:00,0,1,0
1504,6.0,17.0,2024-07-01 05:30:00,1,0,0
1505,8.0,22.0,2024-07-01 13:30:00,0,1,1
1508,8.0,16.75,2024-07-02 04:30:00,1,0,0
1506,8.0,15.0,2024-07-02 07:30:00,0,1,0
1507,8.0,29.0,2024-07-02 05:30:00,1,0,0
1509,8.0,17.5,2024-07-02 13:30:00,0,1,1
1510,7.0,23.5,2024-07-02 15:30:00,0,1,1
1513,6.0,16.5,2024-07-03 05:30:00,1,0,0
1511,6.0,15.25,2024-07-03 06:30:00,1,1,0
1512,9.0,27.75,2024-07-03 05:30:00,1,0,0
1514,6.0,18.0,2024-07-03 11:30:00,0,1,1
1515,7.0,22.75,2024-07-03 13:30:00,0,1,1
1518,6.0,17.0,2024-07-04 05:30:00,1,0,0
1516,6.0,15.5,2024-07-04 05:30:00,1,0,0
1517,8.0,28.0,2024-07-04 05:30:00,1,0,0
1519,8.0,18.5,2024-07-04 11:30:00,0,1,1
1520,8.0,23.0,2024-07-04 13:30:00,0,1,1
1523,6.0,16.8,2024-07-05 05:30:00,1,0,0
1521,8.0,15.75,2024-07-05 05:30:00,1,0,0
1522,8.0,27.5,2024-07-05 08:30:00,0,1,0
1524,8.0,17.75,2024-07-05 12:30:00,0,1,1
1525,7.0,23.25,2024-07-05 14:30:00,0,1,1
1528,6.0,16.95,2024-07-06 05:30:00,1,0,0
1526,8.0,15.95,2024-07-06 05:30:00,1,0,0
1527,8.0,28.25,2024-07-06 08:30:00,0,1,0
1529,8.0,18.25,2024-07-06 12:30:00,0,1,1
1530,7.0,22.95,2024-07-06 14:30:00,0,1,1
1533,6.0,17.1,2024-07-07 05:30:00,1,0,0
1531,6.0,16.1,2024-07-07 07:30:00,0,1,0
1532,8.0,29.25,2024-07-07 08:30:00,0,1,0
128,8.0,17.0,2024-07-07 09:00:00,0,1,0
1534,8.0,19.0,2024-07-07 12:30:00,0,1,1
127,6.0,15.0,2024-07-07 14:00:00,0,1,1
1535,7.0,24.0,2024-07-07 14:30:00,0,1,1
1538,6.0,17.25,2024-07-08 05:30:00,1,0,0
1536,6.0,16.25,2024-07-08 05:30:00,1,0,0
1537,8.0,29.75,2024-07-08 05:30:00,1,0,0
1539,6.0,18.25,2024-07-08 11:30:00,0,1,1
1540,7.0,24.25,2024-07-08 13:30:00,0,1,1
1543,6.0,17.4,2024-07-09 05:30:00,1,0,0
1541,6.0,16.5,2024-07-09 05:30:00,1,0,0
1542,8.0,30.0,2024-07-09 05:30:00,1,0,0
1544,6.0,18.4,2024-07-09 11:30:00,0,1,1
1545,7.0,24.5,2024-07-09 14:30:00,0,1,1
1548,6.0,17.6,2024-07-10 05:30:00,1,0,0
1546,6.0,16.75,2024-07-10 05:30:00,1,0,0
1547,8.0,21.5,2024-07-10 05:30:00,1,0,0
1549,6.0,18.6,2024-07-10 11:30:00,0,1,1
133,6.0,13.25,2024-07-10 13:00:00,0,1,1
1550,7.0,25.0,2024-07-10 13:30:00,0,1,1
136,6.0,16.5,2024-07-11 15:00:00,0,1,1
140,8.0,16.75,2024-07-13 06:00:00,1,1,0
142,6.0,13.0,2024-07-14 05:30:00,1,0,0
143,8.0,21.75,2024-07-15 13:00:00,0,1,1
145,5.0,14.0,2024-07-16 10:30:00,0,1,0
151,6.0,13.5,2024-07-19 08:30:00,0,1,0
152,8.0,16.75,2024-07-19 12:30:00,0,1,1
157,6.0,13.75,2024-07-22 08:00:00,0,1,0
158,6.0,15.5,2024-07-22 12:30:00,0,1,1
162,6.0,15.75,2024-07-24 08:30:00,0,1,0
168,6.0,13.5,2024-07-27 05:30:00,1,0,0
167,7.0,18.0,2024-07-27 14:00:00,0,1,1
