employee_id,scheduled_hours,hourly_wage,availability_start_time,available_morning,available_afternoon,available_evening
121,8.0,14.25,2024-07-05 07:00:00,0,1,0
123,8.0,29.0,2024-07-05 09:30:00,0,1,0
125,8.0,21.5,2024-07-06 05:00:00,1,0,0
129,8.5,22.25,2024-07-08 05:00:00,1,0,0
130,8.0,30.5,2024-07-08 05:30:00,1,0,0
132,7.0,14.75,2024-07-09 05:00:00,1,0,0
134,5.0,15.5,2024-07-10 05:30:00,1,0,0
135,8.0,20.75,2024-07-11 05:30:00,1,0,0
137,8.0,28.75,2024-07-12 05:00:00,1,0,0
139,4.0,15.25,2024-07-13 05:00:00,1,0,0
141,8.0,29.5,2024-07-14 05:30:00,1,0,0
146,6.0,13.0,2024-07-16 11:30:00,0,1,1
148,8.0,30.0,2024-07-17 11:30:00,0,1,1
147,8.0,22.0,2024-07-17 11:30:00,0,1,1
150,7.0,17.25,2024-07-18 11:30:00,0,1,1
153,6.0,15.0,2024-07-20 05:30:00,1,0,0
156,6.0,17.0,2024-07-21 05:30:00,1,0,0
159,8.0,22.5,2024-07-23 13:30:00,0,1,1
160,8.0,31.0,2024-07-23 13:30:00,0,1,1
161,5.0,18.0,2024-07-24 13:30:00,0,1,1
163,5.0,13.5,2024-07-25 13:30:00,0,1,1
166,8.0,30.0,2024-07-26 13:30:00,0,1,1
170,6.0,15.25,2024-07-28 13:30:00,0,1,1
169,8.0,16.25,2024-07-28 13:30:00,0,1,1
